Methane,Humidity,Temperature,Pressure,Altitude,Latitude & Longitude,Latitude,Longitude,Latitude (decimal),Longitude (decimal)
368.46,41.24,18.33,1020.24,-58.04,49 19.17820 -124 19.03224,49 19.17820,-124 19.03224,49.31964,-123.6828
368.46,41.23,18.33,1020.21,-58.02,49 19.17852 -124 19.03190,49 19.17852,-124 19.03190,49.31964,-123.6828
368.46,41.21,18.33,1020.25,-57.73,49 19.17741 -124 19.03218,49 19.17741,-124 19.03218,49.31962,-123.6828
368.46,41.18,18.33,1020.21,-57.99,49 19.17675 -124 19.03179,49 19.17675,-124 19.03179,49.31961,-123.6828
368.46,41.16,18.34,1020.23,-57.81,49 19.17532 -124 19.03355,49 19.17532,-124 19.03355,49.31959,-123.68277
368.46,41.13,18.34,1020.23,-57.8,49 19.17437 -124 19.03424,49 19.17437,-124 19.03424,49.31957,-123.68276
368.46,41.1,18.34,1020.22,-57.79,49 19.17607 -124 19.03431,49 19.17607,-124 19.03431,49.3196,-123.68276
368.46,41.07,18.34,1020.19,-57.91,49 19.17613 -124 19.03437,49 19.17613,-124 19.03437,49.3196,-123.68276
368.46,41.05,18.34,1020.14,-57.82,49 19.17726 -124 19.03441,49 19.17726,-124 19.03441,49.31962,-123.68276
366.02,41.02,18.34,1020.19,-57.83,49 19.17714 -124 19.03298,49 19.17714,-124 19.03298,49.31962,-123.68278
368.46,41,18.35,1020.23,-57.71,49 19.17695 -124 19.03287,49 19.17695,-124 19.03287,49.31962,-123.68279
368.46,40.98,18.35,1020.22,-57.7,49 19.17706 -124 19.03215,49 19.17706,-124 19.03215,49.31962,-123.6828
368.46,40.97,18.35,1020.2,-57.79,49 19.17911 -124 19.03287,49 19.17911,-124 19.03287,49.31965,-123.68279
366.02,40.95,18.36,1020.23,-57.8,49 19.17877 -124 19.03338,49 19.17877,-124 19.03338,49.31965,-123.68278
368.46,40.97,18.36,1020.19,-57.77,49 19.17896 -124 19.03377,49 19.17896,-124 19.03377,49.31965,-123.68277
368.46,40.99,18.36,1020.2,-57.87,49 19.17884 -124 19.03374,49 19.17884,-124 19.03374,49.31965,-123.68277
368.46,41.01,18.36,1020.21,-58.03,49 19.17825 -124 19.03437,49 19.17825,-124 19.03437,49.31964,-123.68276
368.46,41.15,18.37,1020.22,-57.83,49 19.17847 -124 19.03526,49 19.17847,-124 19.03526,49.31964,-123.68275
368.46,41.25,18.38,1020.22,-57.7,49 19.17775 -124 19.03603,49 19.17775,-124 19.03603,49.31963,-123.68273
368.46,41.27,18.38,1020.2,-57.72,49 19.18296 -124 19.03399,49 19.18296,-124 19.03399,49.31972,-123.68277
368.46,41.3,18.39,1020.23,-57.58,49 19.18516 -124 19.03285,49 19.18516,-124 19.03285,49.31975,-123.68279
368.46,41.34,18.39,1020.23,-57.71,49 19.18691 -124 19.03422,49 19.18691,-124 19.03422,49.31978,-123.68276
368.46,41.34,18.4,1020.19,-58.08,49 19.18741 -124 19.03341,49 19.18741,-124 19.03341,49.31979,-123.68278
368.46,41.34,18.4,1020.19,-57.79,49 19.18659 -124 19.03337,49 19.18659,-124 19.03337,49.31978,-123.68278
368.46,41.32,18.4,1020.21,-57.96,49 19.18666 -124 19.03445,49 19.18666,-124 19.03445,49.31978,-123.68276
368.46,41.27,18.4,1020.21,-57.86,49 19.18778 -124 19.03552,49 19.18778,-124 19.03552,49.3198,-123.68274
368.46,41.24,18.4,1020.22,-58.1,49 19.18976 -124 19.03628,49 19.18976,-124 19.03628,49.31983,-123.68273
368.46,41.2,18.41,1020.23,-57.81,49 19.19023 -124 19.03605,49 19.19023,-124 19.03605,49.31984,-123.68273
368.46,41.18,18.41,1020.22,-57.71,49 19.19023 -124 19.03420,49 19.19023,-124 19.03420,49.31984,-123.68276
368.46,41.16,18.41,1020.21,-57.72,49 19.19085 -124 19.03302,49 19.19085,-124 19.03302,49.31985,-123.68278
