
Pressure, Temp, Humidity, Time[0, 28.76097297668457, 39.029747009277344, '21:05:40']
Pressure, Temp, Humidity, Time[1011.555419921875, 28.942729949951172, 41.9381103515625, '21:05:41']
Pressure, Temp, Humidity, Time[1011.579833984375, 28.851852416992188, 39.469696044921875, '21:05:42']
Pressure, Temp, Humidity, Time[1011.601806640625, 28.979080200195312, 41.65936279296875, '21:05:43']
Pressure, Temp, Humidity, Time[1011.565673828125, 28.960905075073242, 41.67615509033203, '21:05:44']
Pressure, Temp, Humidity, Time[1011.560791015625, 29.015430450439453, 41.48136901855469, '21:05:45']
Pressure, Temp, Humidity, Time[1011.566162109375, 29.033607482910156, 41.92131805419922, '21:05:47']
Pressure, Temp, Humidity, Time[1011.575439453125, 29.015430450439453, 41.35039520263672, '21:05:48']
Pressure, Temp, Humidity, Time[1011.552001953125, 29.051782608032227, 45.49128723144531, '21:05:49']
Pressure, Temp, Humidity, Time[1011.546630859375, 28.960905075073242, 41.864227294921875, '21:05:50']
Pressure, Temp, Humidity, Time[1011.578857421875, 29.051782608032227, 41.55525588989258, '21:05:51']
Pressure, Temp, Humidity, Time[1011.5859375, 29.142662048339844, 41.19926452636719, '21:05:52']
Pressure, Temp, Humidity, Time[1011.582275390625, 29.033607482910156, 41.007835388183594, '21:05:53']
Pressure, Temp, Humidity, Time[1011.56884765625, 29.12448501586914, 37.97521209716797, '21:05:54']
Pressure, Temp, Humidity, Time[1011.562744140625, 29.10630989074707, 42.15976333618164, '21:05:55']
Pressure, Temp, Humidity, Time[1011.552734375, 29.033607482910156, 41.41756057739258, '21:05:57']
Pressure, Temp, Humidity, Time[1011.598876953125, 29.233539581298828, 42.05901336669922, '21:05:58']
Pressure, Temp, Humidity, Time[1011.599853515625, 29.324417114257812, 42.05229568481445, '21:05:59']
Pressure, Temp, Humidity, Time[1011.576904296875, 29.197187423706055, 39.56037139892578, '21:06:00']
Pressure, Temp, Humidity, Time[1011.5595703125, 29.179012298583984, 40.178314208984375, '21:06:01']
Pressure, Temp, Humidity, Time[1011.5732421875, 29.179012298583984, 41.786983489990234, '21:06:02']
Pressure, Temp, Humidity, Time[1011.599609375, 29.233539581298828, 41.26643371582031, '21:06:03']
Pressure, Temp, Humidity, Time[1011.58837890625, 29.215362548828125, 41.86086654663086, '21:06:04']
Pressure, Temp, Humidity, Time[1011.56396484375, 29.233539581298828, 41.97505187988281, '21:06:05']
Pressure, Temp, Humidity, Time[1011.59228515625, 29.30624008178711, 41.47465515136719, '21:06:07']
Pressure, Temp, Humidity, Time[1011.599365234375, 29.342592239379883, 41.77355194091797, '21:06:08']
Pressure, Temp, Humidity, Time[1011.602783203125, 29.324417114257812, 40.85335159301758, '21:06:09']
Pressure, Temp, Humidity, Time[1011.58251953125, 29.30624008178711, 40.98768615722656, '21:06:10']
Pressure, Temp, Humidity, Time[1011.58447265625, 29.342592239379883, 42.13961410522461, '21:06:11']
Pressure, Temp, Humidity, Time[1011.587158203125, 29.324417114257812, 41.33695983886719, '21:06:12']
Pressure, Temp, Humidity, Time[1011.569580078125, 29.378944396972656, 40.89029312133789, '21:06:13']
Pressure, Temp, Humidity, Time[1011.57470703125, 29.378944396972656, 41.11194610595703, '21:06:14']
Pressure, Temp, Humidity, Time[1011.556640625, 29.46982192993164, 41.26643371582031, '21:06:15']
Pressure, Temp, Humidity, Time[1011.609375, 29.415294647216797, 44.258758544921875, '21:06:17']
Pressure, Temp, Humidity, Time[1011.57373046875, 29.597049713134766, 40.82984161376953, '21:06:18']
Pressure, Temp, Humidity, Time[1011.56982421875, 29.524349212646484, 41.48808670043945, '21:06:19']
Pressure, Temp, Humidity, Time[1011.5615234375, 29.46982192993164, 41.320167541503906, '21:06:20']
Pressure, Temp, Humidity, Time[1011.55712890625, 29.50617218017578, 41.098514556884766, '21:06:21']
Pressure, Temp, Humidity, Time[1011.576416015625, 29.524349212646484, 42.069087982177734, '21:06:22']
Pressure, Temp, Humidity, Time[1011.577392578125, 29.560699462890625, 39.92643737792969, '21:06:23']
Pressure, Temp, Humidity, Time[1011.591064453125, 29.542522430419922, 41.19926452636719, '21:06:24']
Pressure, Temp, Humidity, Time[1011.591064453125, 29.542522430419922, 40.752601623535156, '21:06:25']
Pressure, Temp, Humidity, Time[1011.577880859375, 29.61522674560547, 41.2563591003418, '21:06:26']
Pressure, Temp, Humidity, Time[1011.57470703125, 29.61522674560547, 41.31009292602539, '21:06:28']
Pressure, Temp, Humidity, Time[1011.5771484375, 29.597049713134766, 36.40684509277344, '21:06:29']
Pressure, Temp, Humidity, Time[1011.556396484375, 29.742454528808594, 38.2438850402832, '21:06:30']
Pressure, Temp, Humidity, Time[1011.598388671875, 29.597049713134766, 40.5007209777832, '21:06:31']
Pressure, Temp, Humidity, Time[1011.57666015625, 29.65157699584961, 40.742523193359375, '21:06:32']
Pressure, Temp, Humidity, Time[1011.562255859375, 29.706104278564453, 40.9742546081543, '21:06:33']
Pressure, Temp, Humidity, Time[1011.57861328125, 29.815156936645508, 38.67711639404297, '21:06:34']
Pressure, Temp, Humidity, Time[1011.628662109375, 29.778806686401367, 42.04557800292969, '21:06:35']
Pressure, Temp, Humidity, Time[1011.578369140625, 29.815156936645508, 40.62834167480469, '21:06:36']
Pressure, Temp, Humidity, Time[1011.59765625, 29.85150909423828, 40.50407791137695, '21:06:38']
Pressure, Temp, Humidity, Time[1011.614990234375, 29.706104278564453, 40.457061767578125, '21:06:39']
Pressure, Temp, Humidity, Time[1011.582763671875, 29.887859344482422, 40.97089385986328, '21:06:40']
Pressure, Temp, Humidity, Time[1011.580810546875, 29.796981811523438, 42.44186782836914, '21:06:41']
Pressure, Temp, Humidity, Time[1011.601318359375, 29.796981811523438, 41.0649299621582, '21:06:42']
Pressure, Temp, Humidity, Time[1011.61083984375, 29.86968421936035, 41.12202453613281, '21:06:43']
Pressure, Temp, Humidity, Time[1011.5908203125, 29.85150909423828, 40.752601623535156, '21:06:44']
Pressure, Temp, Humidity, Time[1011.598876953125, 29.924209594726562, 43.69118881225586, '21:06:45']
Pressure, Temp, Humidity, Time[1011.60205078125, 29.833332061767578, 40.43355178833008, '21:06:46']
Pressure, Temp, Humidity, Time[1011.56689453125, 29.960561752319336, 40.51415252685547, '21:06:48']
Pressure, Temp, Humidity, Time[1011.597412109375, 29.99691390991211, 40.440269470214844, '21:06:49']
Pressure, Temp, Humidity, Time[1011.597412109375, 30.03326416015625, 40.82312774658203, '21:06:50']
Pressure, Temp, Humidity, Time[1011.5830078125, 29.978736877441406, 41.085079193115234, '21:06:51']
Pressure, Temp, Humidity, Time[1011.565673828125, 30.051441192626953, 39.24132537841797, '21:06:52']
Pressure, Temp, Humidity, Time[1011.58056640625, 29.978736877441406, 40.68878936767578, '21:06:53']
Pressure, Temp, Humidity, Time[1011.596923828125, 29.99691390991211, 40.76603317260742, '21:06:54']
Pressure, Temp, Humidity, Time[1011.563232421875, 30.03326416015625, 40.49736022949219, '21:06:55']
